,pred_array_c1,true_array_c1,prop_var_c1,pred_array_c2,true_array_c2,prop_var_c2,pred_array_c3,true_array_c3,prop_var_c3
0,0.06122681256383657,1.0,0.0012596856257310637,0.07892679508775473,0.0,0.0014641469342046858,0.8598463970422745,0.0,0.0024711352504174647
1,0.9977463310956955,1.0,0.0008935792138077612,0.0012206039445300122,0.0,0.0009692928959028488,0.0010330578799766954,0.0,0.0010758305842903432
2,0.9029208093881607,1.0,0.002044417885704872,0.09564341269433499,0.0,0.002079614452217354,0.0014357749387272634,0.0,0.001054345880346454
3,0.016210855660028757,0.0,0.0008849857271351638,0.8081276148557663,1.0,0.002794781501561969,0.17566153138875962,0.0,0.0025898578642382535
4,5.272895045607129e-06,0.0,0.001226703733733651,0.9985643887519836,1.0,0.0013484093299437432,0.0014303394332819152,0.0,0.0014799673188201398
5,0.9999718415737152,1.0,0.0017627836430732329,2.0650962160289054e-05,0.0,0.0019120730847261565,7.5008381389807256e-06,0.0,0.002103541871331883
6,0.0006444385980285005,0.0,0.000838442774077046,0.9991412287950516,1.0,0.0009076573707678858,0.00021432424797239945,0.0,0.0010107140542791094
7,0.9999097657203674,1.0,0.0009798954671817683,7.433205258166708e-05,0.0,0.001066118221425576,1.5896621703177517e-05,0.0,0.0011828836269343619
8,0.0021405177738051864,0.0,0.0018185998754221729,0.8318912267684937,1.0,0.004944206502787765,0.16596825443208219,0.0,0.005048112564000807
9,3.067392098143884e-07,0.0,0.0013025184981923714,0.9947959160804749,0.0,0.0014675328348183513,0.0052037805627333,1.0,0.0016062668230205901
10,0.9343631190061569,1.0,0.001295413524615203,0.05602402551099658,0.0,0.001259376930481523,0.009612851855345071,0.0,0.0010381729701452783
11,0.9971499854326248,1.0,0.0018537444370774875,0.00024237292098405305,0.0,0.002028007406037012,0.002607639292255044,0.0,0.0021942804656477017
12,0.8354369902610779,1.0,0.0037727525847956207,0.04497817974537611,0.0,0.0022022767859447034,0.11958482895046472,0.0,0.0033680801746025207
13,0.00027420448128395947,0.0,0.0017767986359058408,0.716401369869709,1.0,0.011163026611107286,0.28332442440092565,0.0,0.011320131046440257
14,0.015334647162817419,0.0,0.0012478791702591975,0.3595705835521221,0.0,0.007920739489344675,0.6250947669148446,1.0,0.008350933095307825
15,0.0421645012870431,0.0,0.0019892582731991237,0.5767521065473556,1.0,0.00606525976885385,0.38108339205384256,0.0,0.0060968441201604915
16,0.8824250358343124,0.0,0.004558522295808008,0.011108514103107155,0.0,0.0021799834050871343,0.10646644812077284,1.0,0.0047850486432259465
17,9.885100856990903e-05,0.0,0.0010580745236712036,0.0008322588245209772,0.0,0.0011490124434863803,0.9990688985586167,1.0,0.0012602745567194726
18,9.810996435817288e-06,0.0,0.001884097339450748,0.016716748096514494,0.0,0.0022042546956809878,0.98327343583107,1.0,0.0024022624666722964
19,0.17261630199849606,0.0,0.0038360655844032364,0.018088273173198104,0.0,0.001430819233368225,0.8092954260110855,1.0,0.004563868774584994
20,0.00012467797601857457,0.0,0.0017914597509626345,0.8952392667531968,1.0,0.00634967270779522,0.10463605664670467,0.0,0.006529035145363883
21,0.002522456263541244,0.0,0.0017827025343142774,0.018430375470779838,1.0,0.001974306909384099,0.9790471714735031,0.0,0.002172337100848953
22,0.002260952086071484,0.0,0.0007262240866391818,0.06415160471573472,0.0,0.00143958882945255,0.9335874384641647,1.0,0.0015705158727136771
23,2.4096170463963062e-05,0.0,0.0007852865264721797,0.0033819751985720357,0.0,0.0008719469419207462,0.99659392952919,1.0,0.000967620593665741
24,0.5571220543980598,0.0,0.003935147003531212,0.32943890437483786,1.0,0.003690462312083541,0.11343904599547386,0.0,0.00201638539007662
25,4.940654640449793e-05,0.0,0.0018117636500934518,0.4688072599470615,1.0,0.021298278929842603,0.5311433374881744,0.0,0.021487182910022593
26,0.00015715528699729474,0.0,0.0018151663847713253,0.03221984346397221,0.0,0.002523132513598587,0.9676230013370514,1.0,0.002704739472712312
27,0.2884059573709965,1.0,0.008526868597496021,0.0034641268115956337,0.0,0.0009378416786147198,0.7081299132108688,0.0,0.008832601746002986
28,0.5587552788853646,0.0,0.0037774707874328054,0.08759381849318743,0.0,0.001659507945120685,0.3536509039998055,1.0,0.004769787131354951
29,0.9996120029687882,1.0,0.0007131402632288438,0.0002892492366663646,0.0,0.0007819950600511663,9.874295020381396e-05,0.0,0.0008707155372697261
